Salary,Age,Weight,Name
7730337.0,25.0,180.0,Avery Bradley
6796117.0,25.0,235.0,Jae Crowder
,27.0,205.0,John Holland
1148640.0,22.0,185.0,R.J. Hunter
5000000.0,29.0,231.0,Jonas Jerebko
12000000.0,29.0,240.0,Amir Johnson
1170960.0,21.0,235.0,Jordan Mickey
2165160.0,25.0,238.0,Kelly Olynyk
1824360.0,22.0,190.0,Terry Rozier
3431040.0,22.0,220.0,Marcus Smart
2569260.0,24.0,260.0,Jared Sullinger
6912869.0,27.0,185.0,Isaiah Thomas
3425510.0,27.0,220.0,Evan Turner
1749840.0,20.0,215.0,James Young
2616975.0,26.0,253.0,Tyler Zeller
3425510.0,27.0,216.0,Bojan Bogdanovic
845059.0,24.0,190.0,Markel Brown
1500000.0,28.0,200.0,Wayne Ellington
1335480.0,21.0,220.0,Rondae Hollis-Jefferson
6300000.0,32.0,200.0,Jarrett Jack
1599840.0,22.0,208.0,Sergey Karasev
134215.0,26.0,219.0,Sean Kilpatrick
1500000.0,23.0,175.0,Shane Larkin
19689000.0,28.0,275.0,Brook Lopez
1140240.0,21.0,200.0,Chris McCullough
947276.0,26.0,220.0,Willie Reed
981348.0,25.0,237.0,Thomas Robinson
947276.0,26.0,248.0,Henry Sims
947276.0,28.0,205.0,Donald Sloan
11235955.0,27.0,221.0,Thaddeus Young
8000000.0,30.0,210.0,Arron Afflalo
1635476.0,33.0,220.0,Lou Amundson
30888.0,23.0,205.0,Thanasis Antetokounmpo
22875000.0,32.0,240.0,Carmelo Anthony
7402812.0,34.0,200.0,Jose Calderon
845059.0,25.0,210.0,Cleanthony Early
845059.0,24.0,200.0,Langston Galloway
1572360.0,23.0,195.0,Jerian Grant
12650000.0,28.0,255.0,Robin Lopez
3750000.0,26.0,250.0,Kyle O'Quinn
4131720.0,20.0,240.0,Kristaps Porzingis
2814000.0,26.0,278.0,Kevin Seraphin
1636842.0,28.0,235.0,Lance Thomas
947276.0,32.0,195.0,Sasha Vujacic
4000000.0,25.0,240.0,Derrick Williams
167406.0,23.0,205.0,Tony Wroten
,37.0,254.0,Elton Brand
947276.0,25.0,201.0,Isaiah Canaan
1000000.0,25.0,215.0,Robert Covington
4626960.0,22.0,250.0,Joel Embiid
845059.0,22.0,210.0,Jerami Grant
1074169.0,22.0,245.0,Richaun Holmes
6500000.0,32.0,248.0,Carl Landry
2144772.0,24.0,200.0,Kendall Marshall
525093.0,24.0,200.0,T.J. McConnell
3457800.0,22.0,228.0,Nerlens Noel
4582680.0,20.0,275.0,Jahlil Okafor
947276.0,27.0,175.0,Ish Smith
2869440.0,22.0,205.0,Nik Stauskas
947276.0,25.0,206.0,Hollis Thompson
525093.0,20.0,220.0,Christian Wood
2814000.0,23.0,245.0,Bismack Biyombo
1524000.0,20.0,205.0,Bruno Caboclo
13600000.0,29.0,212.0,DeMarre Carroll
10050000.0,26.0,220.0,DeMar DeRozan
2500000.0,29.0,250.0,James Johnson
7000000.0,24.0,190.0,Cory Joseph
12000000.0,30.0,205.0,Kyle Lowry
1842000.0,23.0,220.0,Lucas Nogueira
6268675.0,27.0,235.0,Patrick Patterson
650000.0,23.0,215.0,Norman Powell
3553917.0,25.0,195.0,Terrence Ross
2900000.0,36.0,240.0,Luis Scola
245177.0,29.0,250.0,Jason Thompson
4660482.0,24.0,255.0,Jonas Valanciunas
1509360.0,24.0,190.0,Delon Wright
2500000.0,33.0,194.0,Leandro Barbosa
3873398.0,24.0,225.0,Harrison Barnes
13800000.0,31.0,260.0,Andrew Bogut
947276.0,25.0,175.0,Ian Clark
11370786.0,28.0,190.0,Stephen Curry
2008748.0,26.0,265.0,Festus Ezeli
14260870.0,26.0,230.0,Draymond Green
11710456.0,32.0,215.0,Andre Iguodala
5543725.0,30.0,192.0,Shaun Livingston
1131960.0,20.0,220.0,Kevon Looney
845059.0,23.0,240.0,James Michael McAdoo
1270964.0,30.0,220.0,Brandon Rush
3815000.0,28.0,255.0,Marreese Speights
15501000.0,26.0,215.0,Klay Thompson
289755.0,33.0,273.0,Anderson Varejao
1100602.0,27.0,250.0,Cole Aldrich
111444.0,29.0,250.0,Jeff Ayres
5675000.0,36.0,195.0,Jamal Crawford
525093.0,23.0,225.0,Branden Dawson
9650000.0,29.0,235.0,Jeff Green
18907726.0,27.0,251.0,Blake Griffin
1100602.0,28.0,215.0,Wesley Johnson
19689000.0,27.0,265.0,DeAndre Jordan
